Symbol,Date,Close,Volume,PreviousDayVolume,VolumeChange,VolumeChangePercent
MSFT,1986-09-25,0.100694,5155200,4780800,374400,7.83132530120482
MSFT,1986-09-26,0.100694,2332800,5155200,-2822400,-54.7486033519553
MSFT,1986-09-29,0.09809,6192000,2332800,3859200,165.4320987654321
MSFT,1986-09-30,0.09809,5184000,6192000,-1008000,-16.279069767441861
MSFT,1986-10-01,0.097222,32428800,5184000,27244800,525.55555555555554
MSFT,1986-10-02,0.097222,22723200,32428800,-9705600,-29.928952042628776
MSFT,1986-10-03,0.09809,14716800,22723200,-8006400,-35.234474017743977
MSFT,1986-10-06,0.105903,85334400,14716800,70617600,479.84344422700593
MSFT,1986-10-07,0.108073,59788800,85334400,-25545600,-29.935875801552481
MSFT,1986-10-08,0.111111,119606400,59788800,59817600,100.04816955684008
MSFT,1986-10-09,0.114583,92563200,119606400,-27043200,-22.610161329159645
MSFT,1986-10-10,0.119792,76752000,92563200,-15811200,-17.081518357187306
MSFT,1986-10-13,0.114583,27129600,76752000,-49622400,-64.652908067542214
MSFT,1986-10-14,0.116319,12873600,27129600,-14256000,-52.547770700636946
MSFT,1986-10-15,0.121528,63532800,12873600,50659200,393.51230425055928
MSFT,1986-10-16,0.121528,21859200,63532800,-41673600,-65.5938349954669
MSFT,1986-10-17,0.125,124444800,21859200,102585600,469.30171277997363
MSFT,1986-10-20,0.125868,43545600,124444800,-80899200,-65.00809997685721
MSFT,1986-10-21,0.131076,112377600,43545600,68832000,158.06878306878306
MSFT,1986-10-22,0.131076,54576000,112377600,-57801600,-51.43516145566376
MSFT,1986-10-23,0.131076,70444800,54576000,15868800,29.07651715039578
MSFT,1986-10-24,0.130208,101376000,70444800,30931200,43.908421913327885
MSFT,1986-10-27,0.134549,125654400,101376000,24278400,23.948863636363637
MSFT,1986-10-28,0.137587,142646400,125654400,16992000,13.522805409122164
MSFT,1986-10-29,0.133681,53222400,142646400,-89424000,-62.689279224712294
MSFT,1986-10-30,0.136285,44380800,53222400,-8841600,-16.612554112554111
MSFT,1986-10-31,0.134549,63734400,44380800,19353600,43.608046722907204
MSFT,1986-11-03,0.137153,42192000,63734400,-21542400,-33.800271125169452
MSFT,1986-11-04,0.142361,54403200,42192000,12211200,28.9419795221843
MSFT,1986-11-05,0.151042,45100800,54403200,-9302400,-17.098994176813129
MSFT,1986-11-06,0.154514,72576000,45100800,27475200,60.919540229885058
MSFT,1986-11-07,0.153646,44323200,72576000,-28252800,-38.928571428571431
MSFT,1986-11-10,0.147569,28684800,44323200,-15638400,-35.282651072124757
MSFT,1986-11-11,0.148438,11894400,28684800,-16790400,-58.534136546184733
MSFT,1986-11-12,0.148438,34156800,11894400,22262400,187.16707021791768
MSFT,1986-11-13,0.146267,30211200,34156800,-3945600,-11.551433389544687
MSFT,1986-11-14,0.147569,18720000,30211200,-11491200,-38.036224976167773
MSFT,1986-11-17,0.148438,24307200,18720000,5587200,29.846153846153843
MSFT,1986-11-18,0.140625,59673600,24307200,35366400,145.49763033175356
MSFT,1986-11-19,0.145833,48729600,59673600,-10944000,-18.339768339768341
MSFT,1986-11-20,0.157118,98179200,48729600,49449600,101.47754137115838
MSFT,1986-11-21,0.162326,91065600,98179200,-7113600,-7.2455265473745962
MSFT,1986-11-24,0.175347,173836800,91065600,82771200,90.891840607210625
MSFT,1986-11-25,0.177083,95788800,173836800,-78048000,-44.897282968853546
MSFT,1986-11-26,0.175347,38793600,95788800,-56995200,-59.500901984365605
MSFT,1986-11-28,0.172743,41328000,38793600,2534400,6.5330363771343727
MSFT,1986-12-01,0.169271,40291200,41328000,-1036800,-2.508710801393728
MSFT,1986-12-02,0.170139,28771200,40291200,-11520000,-28.591851322373124
MSFT,1986-12-03,0.168837,35164800,28771200,6393600,22.222222222222221
MSFT,1986-12-04,0.171007,42508800,35164800,7344000,20.884520884520885
MSFT,1986-12-05,0.170139,107510400,42508800,65001600,152.91327913279133
MSFT,1986-12-08,0.168403,22665600,107510400,-84844800,-78.917760514331633
MSFT,1986-12-09,0.167535,16099200,22665600,-6566400,-28.970775095298603
MSFT,1986-12-10,0.168837,27590400,16099200,11491200,71.37745974955277
MSFT,1986-12-11,0.170139,11635200,27590400,-15955200,-57.82881002087683
MSFT,1986-12-12,0.164063,25286400,11635200,13651200,117.32673267326732
MSFT,1986-12-15,0.159722,50774400,25286400,25488000,100.79726651480638
MSFT,1986-12-16,0.161458,77299200,50774400,26524800,52.240499149177531
MSFT,1986-12-17,0.163194,23356800,77299200,-53942400,-69.7839046199702
MSFT,1986-12-18,0.164497,12672000,23356800,-10684800,-45.745992601726265
MSFT,1986-12-19,0.168403,56592000,12672000,43920000,346.59090909090907
MSFT,1986-12-22,0.170139,18316800,56592000,-38275200,-67.63358778625954
MSFT,1986-12-23,0.171875,23788800,18316800,5472000,29.874213836477985
MSFT,1986-12-24,0.171441,7027200,23788800,-16761600,-70.460048426150124
MSFT,1986-12-26,0.171007,3715200,7027200,-3312000,-47.131147540983612
MSFT,1986-12-29,0.164063,41702400,3715200,37987200,1022.4806201550388
MSFT,1986-12-30,0.165799,25401600,41702400,-16300800,-39.088397790055247
MSFT,1986-12-31,0.167535,23356800,25401600,-2044800,-8.0498866213151921
MSFT,1987-01-02,0.165799,12643200,23356800,-10713600,-45.869297163995064
MSFT,1987-01-05,0.175347,48499200,12643200,35856000,283.59908883826881
MSFT,1987-01-06,0.177951,40032000,48499200,-8467200,-17.458432304038006
MSFT,1987-01-07,0.1875,60998400,40032000,20966400,52.374100719424469
MSFT,1987-01-08,0.193576,61488000,60998400,489600,0.80264400377714828
MSFT,1987-01-09,0.201389,63705600,61488000,2217600,3.6065573770491808
MSFT,1987-01-12,0.21441,128793600,63705600,65088000,102.16998191681736
MSFT,1987-01-13,0.208333,76320000,128793600,-52473600,-40.742397137745975
MSFT,1987-01-14,0.208333,69465600,76320000,-6854400,-8.9811320754716988
MSFT,1987-01-15,0.219618,117014400,69465600,47548800,68.449419568822549
MSFT,1987-01-16,0.21441,65433600,117014400,-51580800,-44.080728525719906
MSFT,1987-01-19,0.222222,88243200,65433600,22809600,34.859154929577464
MSFT,1987-01-20,0.225694,95760000,88243200,7516800,8.5182767624020883
MSFT,1987-01-21,0.235243,108489600,95760000,12729600,13.293233082706768
MSFT,1987-01-22,0.258681,116035200,108489600,7545600,6.9551367135651718
MSFT,1987-01-23,0.234375,317894400,116035200,201859200,173.96376272027797
MSFT,1987-01-26,0.238715,116553600,317894400,-201340800,-63.335749229932958
MSFT,1987-01-27,0.248264,114105600,116553600,-2448000,-2.1003212255992092
MSFT,1987-01-28,0.249132,76723200,114105600,-37382400,-32.76123170116103
MSFT,1987-01-29,0.238715,79228800,76723200,2505600,3.2657657657657655
MSFT,1987-01-30,0.253906,104169600,79228800,24940800,31.479462013813158
MSFT,1987-02-02,0.253472,46915200,104169600,-57254400,-54.962676251036768
MSFT,1987-02-03,0.249132,59328000,46915200,12412800,26.45794966236955
MSFT,1987-02-04,0.25,31737600,59328000,-27590400,-46.504854368932044
MSFT,1987-02-05,0.248264,42652800,31737600,10915200,34.392014519056261
MSFT,1987-02-06,0.239149,45619200,42652800,2966400,6.9547602970965556
MSFT,1987-02-09,0.236979,136080000,45619200,90460800,198.29545454545453
MSFT,1987-02-10,0.237847,44668800,136080000,-91411200,-67.174603174603178
MSFT,1987-02-11,0.249132,60307200,44668800,15638400,35.009671179883945
MSFT,1987-02-12,0.266493,185731200,60307200,125424000,207.97516714422159
MSFT,1987-02-13,0.263889,81763200,185731200,-103968000,-55.977670956737477
MSFT,1987-02-17,0.265625,70732800,81763200,-11030400,-13.490665727368793
MSFT,1987-02-18,0.249132,128592000,70732800,57859200,81.799674267100968
MSFT,1987-02-19,0.238715,317750400,128592000,189158400,147.09966405375138
MSFT,1987-02-20,0.236111,87897600,317750400,-229852800,-72.337532855977528
MSFT,1987-02-23,0.250868,125913600,87897600,38016000,43.250327653997381
MSFT,1987-02-24,0.263021,120816000,125913600,-5097600,-4.0484903934126262
MSFT,1987-02-25,0.258681,65001600,120816000,-55814400,-46.197854588796183
MSFT,1987-02-26,0.268229,145209600,65001600,80208000,123.39388568896766
MSFT,1987-02-27,0.266493,37555200,145209600,-107654400,-74.137247124157085
MSFT,1987-03-02,0.258681,79516800,37555200,41961600,111.73312883435582
MSFT,1987-03-03,0.258681,81100800,79516800,1584000,1.9920318725099602
MSFT,1987-03-04,0.27691,98179200,81100800,17078400,21.058238636363637
MSFT,1987-03-05,0.289931,128188800,98179200,30009600,30.566148430624818
MSFT,1987-03-06,0.289063,63561600,128188800,-64627200,-50.415636935520105
MSFT,1987-03-09,0.283854,38275200,63561600,-25286400,-39.782510194834622
MSFT,1987-03-10,0.292535,74102400,38275200,35827200,93.604213694507138
MSFT,1987-03-11,0.296875,43862400,74102400,-30240000,-40.808394869801788
MSFT,1987-03-12,0.298177,71337600,43862400,27475200,62.639527248850953
MSFT,1987-03-13,0.287326,105120000,71337600,33782400,47.355672184093663
MSFT,1987-03-16,0.28559,88473600,105120000,-16646400,-15.835616438356166
MSFT,1987-03-17,0.295139,54547200,88473600,-33926400,-38.346354166666671
MSFT,1987-03-18,0.310764,119347200,54547200,64800000,118.79619852164731
MSFT,1987-03-19,0.31684,62812800,119347200,-56534400,-47.369691119691119
MSFT,1987-03-20,0.313368,38246400,62812800,-24566400,-39.110499770747367
MSFT,1987-03-23,0.311198,67478400,38246400,29232000,76.430722891566262
MSFT,1987-03-24,0.313368,69609600,67478400,2131200,3.1583440034144261
MSFT,1987-03-25,0.312066,33840000,69609600,-35769600,-51.386015721969379
MSFT,1987-03-26,0.309896,33379200,33840000,-460800,-1.3617021276595744
MSFT,1987-03-27,0.318576,120873600,33379200,87494400,262.12251941328731
MSFT,1987-03-30,0.335938,186134400,120873600,65260800,53.990945913747915
MSFT,1987-03-31,0.335938,125337600,186134400,-60796800,-32.662850069627112
MSFT,1987-04-01,0.315972,259430400,125337600,134092800,106.98529411764706
MSFT,1987-04-02,0.329861,159955200,259430400,-99475200,-38.3436944937833
MSFT,1987-04-03,0.346354,155606400,159955200,-4348800,-2.7187612531508822
MSFT,1987-04-06,0.344618,98956800,155606400,-56649600,-36.405700536738848
MSFT,1987-04-07,0.326389,73728000,98956800,-25228800,-25.494761350407451
MSFT,1987-04-08,0.335938,106214400,73728000,32486400,44.0625
MSFT,1987-04-09,0.329861,71568000,106214400,-34646400,-32.619305856832966
MSFT,1987-04-10,0.332031,43372800,71568000,-28195200,-39.396378269617706
MSFT,1987-04-13,0.321181,50256000,43372800,6883200,15.869853917662683
MSFT,1987-04-14,0.326389,87379200,50256000,37123200,73.868194842406879
MSFT,1987-04-15,0.333333,95961600,87379200,8582400,9.82201713909031
MSFT,1987-04-16,0.342014,188092800,95961600,92131200,96.008403361344534
MSFT,1987-04-20,0.332465,100310400,188092800,-87782400,-46.669728984841527
MSFT,1987-04-21,0.337674,113184000,100310400,12873600,12.833763996554696
MSFT,1987-04-22,0.342014,74678400,113184000,-38505600,-34.020356234096695
MSFT,1987-04-23,0.342014,48326400,74678400,-26352000,-35.28731199382954
MSFT,1987-04-24,0.34375,54172800,48326400,5846400,12.097735399284863
MSFT,1987-04-27,0.34375,53107200,54172800,-1065600,-1.9670388091440723
MSFT,1987-04-28,0.368924,111081600,53107200,57974400,109.16485900216919
MSFT,1987-04-29,0.358507,85161600,111081600,-25920000,-23.3341975628727
MSFT,1987-04-30,0.361111,88041600,85161600,2880000,3.3818058843422385
MSFT,1987-05-01,0.364583,37843200,88041600,-50198400,-57.016683022571144
MSFT,1987-05-04,0.371528,34531200,37843200,-3312000,-8.7519025875190248
MSFT,1987-05-05,0.40191,110995200,34531200,76464000,221.43452877397834
MSFT,1987-05-06,0.392361,153504000,110995200,42508800,38.297872340425535
MSFT,1987-05-07,0.41059,289699200,153504000,136195200,88.724202626641642
MSFT,1987-05-08,0.439236,150048000,289699200,-139651200,-48.205587036484744
MSFT,1987-05-11,0.427083,127382400,150048000,-22665600,-15.105566218809981
MSFT,1987-05-12,0.412326,148464000,127382400,21081600,16.549853040922454
MSFT,1987-05-13,0.422743,73382400,148464000,-75081600,-50.572259941804077
MSFT,1987-05-14,0.426215,59961600,73382400,-13420800,-18.288854003139718
MSFT,1987-05-15,0.414063,84326400,59961600,24364800,40.634005763688762
MSFT,1987-05-18,0.400174,172598400,84326400,88272000,104.67896174863387
MSFT,1987-05-19,0.386285,78336000,172598400,-94262400,-54.613716002002334
MSFT,1987-05-20,0.380208,228355200,78336000,150019200,191.50735294117646
MSFT,1987-05-21,0.387153,93312000,228355200,-135043200,-59.137343927355282
MSFT,1987-05-22,0.375868,64627200,93312000,-28684800,-30.74074074074074
MSFT,1987-05-26,0.380208,46886400,64627200,-17740800,-27.450980392156865
MSFT,1987-05-27,0.380208,48758400,46886400,1872000,3.9926289926289922
MSFT,1987-05-28,0.403646,108662400,48758400,59904000,122.85883047844064
MSFT,1987-05-29,0.400174,80380800,108662400,-28281600,-26.027034190299496
MSFT,1987-06-01,0.392361,30326400,80380800,-50054400,-62.271587244715157
MSFT,1987-06-02,0.390625,51552000,30326400,21225600,69.990503323836663
MSFT,1987-06-03,0.393229,21628800,51552000,-29923200,-58.044692737430168
MSFT,1987-06-04,0.390625,20390400,21628800,-1238400,-5.7256990679094537
MSFT,1987-06-05,0.37934,59270400,20390400,38880000,190.67796610169492
MSFT,1987-06-08,0.381076,111571200,59270400,52300800,88.24101068999029
MSFT,1987-06-09,0.378472,25833600,111571200,-85737600,-76.845637583892611
MSFT,1987-06-10,0.359375,176256000,25833600,150422400,582.27424749163879
MSFT,1987-06-11,0.338542,268704000,176256000,92448000,52.450980392156865
MSFT,1987-06-12,0.341146,196156800,268704000,-72547200,-26.9989281886388
MSFT,1987-06-15,0.341146,125222400,196156800,-70934400,-36.1620907355748
MSFT,1987-06-16,0.34809,73526400,125222400,-51696000,-41.283348666053357
MSFT,1987-06-17,0.360243,71078400,73526400,-2448000,-3.3294163728946335
MSFT,1987-06-18,0.364149,56188800,71078400,-14889600,-20.948136142625611
MSFT,1987-06-19,0.362847,40809600,56188800,-15379200,-27.370579190158896
MSFT,1987-06-22,0.360243,87436800,40809600,46627200,114.25546930134085
MSFT,1987-06-23,0.356771,100771200,87436800,13334400,15.250329380764164
MSFT,1987-06-24,0.363715,82684800,100771200,-18086400,-17.947985138611031
MSFT,1987-06-25,0.362847,44035200,82684800,-38649600,-46.743295019157088
MSFT,1987-06-26,0.363715,21945600,44035200,-22089600,-50.163505559189012
MSFT,1987-06-29,0.361979,25632000,21945600,3686400,16.797900262467191
MSFT,1987-06-30,0.354167,38332800,25632000,12700800,49.550561797752806
MSFT,1987-07-01,0.355903,21945600,38332800,-16387200,-42.749812171299773
MSFT,1987-07-02,0.347222,56880000,21945600,34934400,159.18635170603673
MSFT,1987-07-06,0.338542,65491200,56880000,8611200,15.139240506329113
MSFT,1987-07-07,0.313368,197078400,65491200,131587200,200.92348284960423
MSFT,1987-07-08,0.323785,193449600,197078400,-3628800,-1.841297676457694
MSFT,1987-07-09,0.332465,92707200,193449600,-100742400,-52.076820008932557
MSFT,1987-07-10,0.336806,75830400,92707200,-16876800,-18.204411307859584
MSFT,1987-07-13,0.344618,48326400,75830400,-27504000,-36.270413976452716
MSFT,1987-07-14,0.364583,152812800,48326400,104486400,216.20977353992848
MSFT,1987-07-15,0.355035,96768000,152812800,-56044800,-36.675461741424805
MSFT,1987-07-16,0.354167,72979200,96768000,-23788800,-24.583333333333332
MSFT,1987-07-17,0.355035,51264000,72979200,-21715200,-29.755327545382791
MSFT,1987-07-20,0.345486,42019200,51264000,-9244800,-18.033707865168537
MSFT,1987-07-21,0.344618,36547200,42019200,-5472000,-13.022618231665525
MSFT,1987-07-22,0.347222,53366400,36547200,16819200,46.020488573680062
MSFT,1987-07-23,0.33941,148492800,53366400,95126400,178.25148407987049
MSFT,1987-07-24,0.342014,57744000,148492800,-90748800,-61.1132660977502
MSFT,1987-07-27,0.346354,41817600,57744000,-15926400,-27.581047381546135
MSFT,1987-07-28,0.345486,38160000,41817600,-3657600,-8.7465564738292
MSFT,1987-07-29,0.344618,27676800,38160000,-10483200,-27.471698113207548
MSFT,1987-07-30,0.336806,55555200,27676800,27878400,100.72840790842872
MSFT,1987-07-31,0.326389,186624000,55555200,131068800,235.92534992223952
MSFT,1987-08-03,0.318576,116352000,186624000,-70272000,-37.654320987654323
MSFT,1987-08-04,0.325521,135072000,116352000,18720000,16.089108910891088
MSFT,1987-08-05,0.337674,211190400,135072000,76118400,56.353944562899784
MSFT,1987-08-06,0.350694,152553600,211190400,-58636800,-27.76489840447293
MSFT,1987-08-07,0.359375,171014400,152553600,18460800,12.10118935246366
MSFT,1987-08-10,0.359375,56448000,171014400,-114566400,-66.992253283933991
MSFT,1987-08-11,0.352431,68544000,56448000,12096000,21.428571428571427
MSFT,1987-08-12,0.347222,42364800,68544000,-26179200,-38.193277310924366
MSFT,1987-08-13,0.357639,80640000,42364800,38275200,90.34670292318151
MSFT,1987-08-14,0.359375,50832000,80640000,-29808000,-36.964285714285715
MSFT,1987-08-17,0.361979,33667200,50832000,-17164800,-33.767705382436262
MSFT,1987-08-18,0.355903,46944000,33667200,13276800,39.435414884516682
MSFT,1987-08-19,0.355903,48902400,46944000,1958400,4.1717791411042944
MSFT,1987-08-20,0.365451,82051200,48902400,33148800,67.785630153121318
